Scheme name	Locus tag	Description
cgMLST V1	YPO0678 (yqhD)	aldehyde oxidoreductase
cgMLST V1	YPO0679	AraC family transcriptional regulator
cgMLST V1	YPO0676 (dkgA)	"2,5-didehydrogluconate reductase A"
cgMLST V1	YPO3632 (ddg)	lipid A biosynthesis palmitoleoyl acyltransferase
cgMLST V1	YPO3630 (yjcE)	Na+/H+ antiporter
cgMLST V1	YPO3400 (folK)	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
cgMLST V1	YPO3401 (panB)	3-methyl-2-oxobutanoate hydroxymethyltransferase
cgMLST V1	YPO3402 (panC)	pantoate--beta-alanine ligase
cgMLST V1	YPO3403 (panD)	aspartate 1-decarboxylase
cgMLST V1	YPO3405 (yadH)	ABC transporter permease
cgMLST V1	YPO3406 (yadG)	ABC transporter
cgMLST V1	YPO3408 (hprT)	hypoxanthine phosphoribosyltransferase
cgMLST V1	YPO3409 (yacK)	multicopper oxidase
cgMLST V1	YPO0533 (leuA)	2-isopropylmalate synthase
cgMLST V1	YPO0532 (leuB)	3-isopropylmalate dehydrogenase
cgMLST V1	YPO0535 (leuO)	leucine transcriptional activator
cgMLST V1	YPO0537 (fadD)	long-chain-fatty-acid--CoA ligase
cgMLST V1	YPO0539 (ilvI)	acetolactate synthase 3 catalytic subunit
cgMLST V1	YPO2208 (trpE)	anthranilate synthase component I
cgMLST V1	YPO2204 (trpB)	tryptophan synthase subunit beta
cgMLST V1	YPO2753 (yfcA)	membrane protein
cgMLST V1	YPO2751 (aroC)	chorismate synthase
cgMLST V1	YPO2750 (prmB)	"protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific"
cgMLST V1	YPO2976	diguanylate cyclase
cgMLST V1	YPO0409 (lsrB)	autoinducer
cgMLST V1	YPO0156 (gph)	phosphoglycolate phosphatase
cgMLST V1	YPO0155 (rpe)	ribulose-phosphate 3-epimerase
cgMLST V1	YPO0154 (dam)	DNA adenine methylase
cgMLST V1	YPO0151 (aroK)	shikimate kinase
cgMLST V1	YPO0150 (hofQ)	putative outer membrane porin HofQ
cgMLST V1	YPO2564	hypothetical protein
cgMLST V1	YPO2566 (ackA)	acetate kinase
cgMLST V1	YPO2561	SLC13 family permease
cgMLST V1	YPO2563	hypothetical protein
cgMLST V1	YPO2568	LacI family transcriptional regulator
cgMLST V1	YPO2569 (ulaC)	PTS ascorbate transporter subunit IIA
cgMLST V1	YPO3967 (pit)	anion permease
cgMLST V1	YPO3969 (uspB)	universal stress protein B
cgMLST V1	YPO0933 (endA)	deoxyribonuclease I
cgMLST V1	YPO0932 (sprT)	SprT family protein
cgMLST V1	YPO1068 (proS)	proline--tRNA ligase
cgMLST V1	YPO1069	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA
cgMLST V1	YPO1060 (accA)	acetyl-CoA carboxylase carboxyltransferase subunit alpha
cgMLST V1	YPO1061 (yaeR)	lyase
cgMLST V1	YPO1063	cytochrome c554
cgMLST V1	YPO1064 (rof)	Rho-binding antiterminator
cgMLST V1	YPO1065	YaeQ protein
cgMLST V1	YPO1066 (yaeJ)	aminoacyl-tRNA hydrolase
cgMLST V1	YPO4034 (lacI)	XylR family transcriptional regulator
cgMLST V1	YPO4037 (xylF)	D-xylose transporter subunit XylF
cgMLST V1	YPO0085 (tpiA)	triose-phosphate isomerase
cgMLST V1	YPO0088 (fpr)	ferredoxin--NADP(+) reductase
cgMLST V1	YPO3428 (guaC)	guanosine monophosphate reductase
cgMLST V1	YPO3422 (ampE)	transcriptional regulator
cgMLST V1	YPO3420 (pdhR)	PdhR family transcriptional regulator
cgMLST V1	YPO3427 (hofC)	type II secretion protein F
cgMLST V1	YPO3424 (nadC)	nicotinate-nucleotide diphosphorylase
cgMLST V1	YPO0888 (lysS)	lysine--tRNA ligase
cgMLST V1	YPO0559 (ftsA)	cell division protein FtsA
cgMLST V1	YPO0553 (murD)	UDP-N-acetylmuramoylalanine--D-glutamate ligase
cgMLST V1	YPO0552 (mraY)	phospho-N-acetylmuramoyl-pentapeptide-transferase
cgMLST V1	YPO0551 (murF)	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
cgMLST V1	YPO0550 (murE)	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
cgMLST V1	YPO0557 (ddl)	D-alanine--D-alanine ligase
cgMLST V1	YPO0556 (murC)	UDP-N-acetylmuramate--L-alanine ligase
cgMLST V1	YPO0554 (ftsW)	cell division protein FtsW
cgMLST V1	YPO3287	DNA-binding response regulator
cgMLST V1	YPO3285 (tyrA)	bifunctional chorismate mutase/prephenate dehydrogenase
cgMLST V1	YPO2778	epimerase
cgMLST V1	YPO2771 (cvpA)	colicin V production protein
cgMLST V1	YPO2770 (dedD)	cell division protein DedD
cgMLST V1	YPO2773 (ubiX)	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
cgMLST V1	YPO2772 (purF)	amidophosphoribosyltransferase
cgMLST V1	YPO2775 (hisQ)	histidine/lysine/arginine/ornithine ABC transporter permease HisQ
cgMLST V1	YPO2774 (hisJ)	amino acid ABC transporter substrate-binding protein
cgMLST V1	YPO2777 (hisP)	amino acid transporter
cgMLST V1	YPO2776 (hisM)	histidine/lysine/arginine/ornithine ABC transporter permease HisM
cgMLST V1	YPO1278	membrane protein
cgMLST V1	YPO1275 (spr)	membrane protein
cgMLST V1	YPO1277	"cobW/HypB/UreG, nucleotide-binding domain protein"
cgMLST V1	YPO1276 (lpxT)	membrane protein
cgMLST V1	YPO1271 (yejE)	microcin C ABC transporter permease
cgMLST V1	YPO1270 (yejF)	microcin C ABC transporter ATP-binding protein YejF
cgMLST V1	YPO1273 (yejA)	peptide ABC transporter substrate-binding protein
cgMLST V1	YPO1272 (yejB)	microcin C ABC transporter permease YejB
cgMLST V1	YPO2627 (nagB)	glucosamine-6-phosphate deaminase
cgMLST V1	YPO2157 (gapA)	glyceraldehyde-3-phosphate dehydrogenase
cgMLST V1	YPO2623 (asnB)	asparagine synthase B
cgMLST V1	YPO2621 (ubiF)	"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
cgMLST V1	YPO2152	upf0229 protein YeaH
cgMLST V1	YPO2446 (yfbT)	2-deoxyglucose-6-phosphatase
cgMLST V1	YPO0944	YggU family protein
cgMLST V1	YPO0945 (rdgB)	non-canonical purine NTP pyrophosphatase
cgMLST V1	YPO0946 (hemN)	YggW family oxidoreductase
cgMLST V1	YPO0942 (proC)	pyrroline-5-carboxylate reductase
cgMLST V1	YPO0943 (yggT)	membrane protein
cgMLST V1	YPO4048 (cmr)	multidrug transporter MdfA
cgMLST V1	YPO3365 (cysN)	sulfate adenylyltransferase
cgMLST V1	YPO3366 (cysD)	sulfate adenylyltransferase subunit 2
cgMLST V1	YPO3363 (ygbE)	membrane protein
cgMLST V1	YPO2019	siroheme synthase
cgMLST V1	YPO2548 (nuoI)	NADH-quinone oxidoreductase subunit I
cgMLST V1	YPO2549 (nuoH)	NADH-quinone oxidoreductase subunit H
cgMLST V1	YPO2547 (nuoJ)	NADH:ubiquinone oxidoreductase subunit J
cgMLST V1	YPO2016 (hemA)	glutamyl-tRNA reductase
cgMLST V1	YPO2545 (nuoL)	NADH-quinone oxidoreductase subunit L
cgMLST V1	YPO2010 (ychF)	GTP-binding protein YchF
cgMLST V1	YPO2543 (nuoN)	NADH-quinone oxidoreductase subunit N
cgMLST V1	YPO2012	membrane protein
cgMLST V1	YPO2013 (prsA)	ribose-phosphate pyrophosphokinase
cgMLST V1	YPO0033	hypothetical protein
