Scheme name	Locus tag	Description
cgMLST V1	b3356 (yhfA)	OsmC family protein
cgMLST V1	b3357 (crp)	"cAMP-activated global transcription factor, mediator of catabolite repression"
cgMLST V1	b3354 (yheU)	UPF0270 family protein
cgMLST V1	b3355 (prkB)	putative phosphoribulokinase
cgMLST V1	b3352 (yheS)	putative transporter subunit of ABC superfamily: ATP-binding component
cgMLST V1	b3353 (yheT)	UPF0017 family putative hydrolase
cgMLST V1	b3351 (kefG)	"potassium-efflux system ancillary protein for KefB, glutathione-regulated"
cgMLST V1	b3358 (yhfK)	"putative transporter, FUSC superfamily inner membrane protein, tandem domains"
cgMLST V1	b1599 (mdtI)	multidrug efflux system transporter
cgMLST V1	b4242 (mgtA)	magnesium transporter
cgMLST V1	b1080 (flgI)	putative flagellar basal body protein
cgMLST V1	b1081 (flgJ)	flagellar rod assembly protein and murein hydrolase; flagellum-specific muramidase
cgMLST V1	b1082 (flgK)	flagellar hook-filament junction protein 1
cgMLST V1	b1083 (flgL)	flagellar hook-filament junction protein
cgMLST V1	b1084 (rne)	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein
cgMLST V1	b1085 (yceQ)	uncharacterized protein
cgMLST V1	b1086 (rluC)	"23S rRNA pseudouridine(955,2504,2580) synthase "
cgMLST V1	b1087 (yceF)	Maf-like protein
cgMLST V1	b1088 (yceD)	DUF177 family protein
cgMLST V1	b1089 (rpmF)	50S ribosomal subunit protein L32
cgMLST V1	b0029 (ispH)	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein "
cgMLST V1	b0028 (fkpB)	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
cgMLST V1	b0020 (nhaR)	transcriptional activator of nhaA
cgMLST V1	b0023 (rpsT)	30S ribosomal subunit protein S20
cgMLST V1	b0025 (ribF)	bifunctional riboflavin kinase/FAD synthetase
cgMLST V1	b0024 (yaaY)	uncharacterized protein
cgMLST V1	b0027 (lspA)	prolipoprotein signal peptidase (signal peptidase II)
cgMLST V1	b0026 (ileS)	isoleucyl-tRNA synthetase
cgMLST V1	b3590 (selB)	selenocysteinyl-tRNA-specific translation factor
cgMLST V1	b3591 (selA)	selenocysteine synthase
cgMLST V1	b3592 (yibF)	glutathione S-transferase homolog
cgMLST V1	b3598 (yibI)	DUF3302 family inner membrane protein
cgMLST V1	b3599 (mtlA)	fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components
cgMLST V1	b0928 (aspC)	"aspartate aminotransferase, PLP-dependent "
cgMLST V1	b0929 (ompF)	outer membrane porin 1a (Ia;b;F)
cgMLST V1	b0924 (mukB)	"chromosome condensin MukBEF, ATPase and DNA-binding subunit"
cgMLST V1	b0925 (ldtD)	"murein L,D-transpeptidase"
cgMLST V1	b0926 (ycbK)	M15A protease-related family periplasmic protein
cgMLST V1	b0927 (ycbL)	putative metal-binding enzyme
cgMLST V1	b0920 (ycbC)	DUF218 superfamily protein
cgMLST V1	b0921 (smtA)	putative S-adenosyl-L-methionine-dependent methyltransferase
cgMLST V1	b0922 (mukF)	"chromosome condensin MukBEF, kleisin-like subunit, binds calcium"
cgMLST V1	b0923 (mukE)	"chromosome condensin MukBEF, MukE localization factor"
cgMLST V1	b2959 (yggL)	DUF469 family protein
cgMLST V1	b2958 (yggN)	DUF2884 family putative periplasmic protein
cgMLST V1	b2953 (yggU)	UPF0235 family protein
cgMLST V1	b2952 (yggT)	putative inner membrane protein; compensates for loss in K+ uptake
cgMLST V1	b2951 (yggS)	"UPF0001 family protein, PLP-binding"
cgMLST V1	b2950 (yggR)	putative PilT family AAA+ ATPase
cgMLST V1	b2955 (yggW)	HemN family putative oxidoreductase
cgMLST V1	b2954 (rdgB)	dITP/XTP pyrophosphatase
cgMLST V1	b1541 (ydfZ)	"selenoprotein, function unknown"
cgMLST V1	b1540 (rspR)	transcriptional repressor for rspAB
cgMLST V1	b0494 (tesA)	multifunctional acyl-CoA thioesterase 1; protease I; lysophospholipase L1
cgMLST V1	b0495 (ybbA)	putative ABC superfamily transporter ATP-binding subunit
cgMLST V1	b0496 (ybbP)	putative ABC transporter permease
cgMLST V1	b0490 (fetA)	"iron exporter, ATP-binding subunit, ABC transporter FetAB subunit; peroxide resistance protein"
cgMLST V1	b0491 (fetB)	"iron exporter permease subunit, ABC transporter FetAB; peroxide resistance protein"
cgMLST V1	b0492 (ybbN)	"DnaK co-chaperone, thioredoxin-like protein"
cgMLST V1	b0493 (ybbO)	putative oxidoreductase
cgMLST V1	b3149 (diaA)	DnaA initiator-associating factor for replication initiation
cgMLST V1	b3148 (yraN)	UPF0102 family protein
cgMLST V1	b3147 (lpoA)	OM lipoprotein stimulator of MrcA transpeptidase
cgMLST V1	b1664 (ydhQ)	autotransporter adhesin-related protein
cgMLST V1	b2239 (glpQ)	periplasmic glycerophosphodiester phosphodiesterase
cgMLST V1	b2236 (yfaE)	ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance
cgMLST V1	b2237 (inaA)	acid-inducible Kdo/WaaP family putative kinase
cgMLST V1	b2232 (ubiG)	bifunctional 3-demethylubiquinone-9 3-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase
cgMLST V1	b1957 (yodC)	uncharacterized protein
cgMLST V1	b1958 (yedI)	DUF808 family inner membrane protein
cgMLST V1	b1959 (yedA)	"amino acid exporter for phenylalanine, threonine"
cgMLST V1	b3034 (nudF)	ADP-ribose pyrophosphatase
cgMLST V1	b2007 (yeeX)	UPF0265 family protein
cgMLST V1	b1000 (cbpA)	DnaK co-chaperone; curved DNA-binding protein
cgMLST V1	b1002 (agp)	glucose-1-phosphatase/inositol phosphatase
cgMLST V1	b1003 (yccJ)	uncharacterized protein
cgMLST V1	b4238 (nrdD)	anaerobic ribonucleoside-triphosphate reductase
cgMLST V1	b4239 (treC)	trehalose-6-P hydrolase
cgMLST V1	b0759 (galE)	UDP-galactose-4-epimerase
cgMLST V1	b0758 (galT)	galactose-1-phosphate uridylyltransferase
cgMLST V1	b4230 (ytfT)	inner membrane putative ABC superfamily sugar transporter permease
cgMLST V1	b4232 (fbp)	"fructose-1,6-bisphosphatase I "
cgMLST V1	b4233 (mpl)	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
cgMLST V1	b0757 (galK)	galactokinase
cgMLST V1	b4235 (pmbA)	putative antibiotic peptide MccB17 maturation peptidase
cgMLST V1	b0755 (gpmA)	phosphoglyceromutase 1
cgMLST V1	b4237 (nrdG)	anaerobic ribonucleotide reductase activating protein
cgMLST V1	b3519 (treF)	cytoplasmic trehalase
cgMLST V1	b3510 (hdeA)	stress response protein acid-resistance protein
cgMLST V1	b3511 (hdeD)	acid-resistance membrane protein
cgMLST V1	b3512 (gadE)	gad regulon transcriptional activator
cgMLST V1	b3515 (gadW)	transcriptional activator of gadA and gadBC; repressor of gadX
cgMLST V1	b4173 (hflX)	"GTPase, stimulated by 50S subunit binding"
cgMLST V1	b4172 (hfq)	"global sRNA chaperone; HF-I, host factor for RNA phage Q beta replication"
cgMLST V1	b4171 (miaA)	delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase
cgMLST V1	b4170 (mutL)	methyl-directed mismatch repair protein
cgMLST V1	b4177 (purA)	adenylosuccinate synthetase
cgMLST V1	b4176 (yjeT)	DUF2065 family protein
cgMLST V1	b4175 (hflC)	modulator for HflB protease specific for phage lambda cII repressor
cgMLST V1	b4174 (hflK)	modulator for HflB protease specific for phage lambda cII repressor
cgMLST V1	b4179 (rnr)	"exoribonuclease R, RNase R "
cgMLST V1	b4178 (nsrR)	nitric oxide-sensitive repressor for NO regulon
cgMLST V1	b1764 (selD)	selenophosphate synthase
cgMLST V1	b1767 (ansA)	cytoplasmic L-asparaginase 1
cgMLST V1	b3253 (acuI)	putative acryloyl-CoA reductase
cgMLST V1	b3252 (csrD)	targeting factor for csrBC sRNA degradation
cgMLST V1	b3251 (mreB)	"cell wall structural complex MreBCD, actin-like component MreB"
cgMLST V1	b3250 (mreC)	cell wall structural complex MreBCD transmembrane component MreC
cgMLST V1	b3257 (yhdT)	DUF997 family putative inner membrane protein
cgMLST V1	b3256 (accC)	"acetyl-CoA carboxylase, biotin carboxylase subunit "
cgMLST V1	b3259 (prmA)	methyltransferase for 50S ribosomal subunit protein L11
cgMLST V1	b3258 (panF)	pantothenate:sodium symporter
cgMLST V1	b1638 (pdxH)	pyridoxine 5'-phosphate oxidase
cgMLST V1	b1631 (rsxG)	SoxR iron-sulfur cluster reduction factor component; putative membrane protein of electron transport complex
cgMLST V1	b1637 (tyrS)	tyrosyl-tRNA synthetase
cgMLST V1	b1634 (dtpA)	dipeptide and tripeptide permease A
cgMLST V1	b4379 (yjjW)	putative pyruvate formate lyase activating enzyme
cgMLST V1	b4374 (yjjG)	dUMP phosphatase
cgMLST V1	b4377 (yjjU)	putative patatin-like family phospholipase
cgMLST V1	b4376 (osmY)	periplasmic protein
cgMLST V1	b4371 (rsmC)	"16S rRNA m(2)G1207 methyltransferase, SAM-dependent "
cgMLST V1	b4373 (rimI)	ribosomal-protein-S18-alanine N-acetyltransferase
cgMLST V1	b4372 (holD)	"DNA polymerase III, psi subunit "
cgMLST V1	b4705 (mntS)	"Mn(2)-response protein, MntR-repressed"
cgMLST V1	b3729 (glmS)	L-glutamine:D-fructose-6-phosphate aminotransferase
cgMLST V1	b3728 (pstS)	"periplasmic phosphate binding protein, high-affinity"
cgMLST V1	b3727 (pstC)	phosphate transporter subunit
cgMLST V1	b3726 (pstA)	phosphate transporter subunit
cgMLST V1	b3725 (pstB)	phosphate transporter subunit
cgMLST V1	b2295 (yfbV)	UPF0208 family inner membrane protein
cgMLST V1	b0849 (grxA)	"glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)"
cgMLST V1	b0848 (ybjM)	inner membrane protein
cgMLST V1	b0843 (ybjH)	uncharacterized protein
cgMLST V1	b0842 (mdfA)	multidrug efflux system protein
cgMLST V1	b0841 (ybjG)	undecaprenyl pyrophosphate phosphatase
cgMLST V1	b0840 (deoR)	deoxyribose-5-phosphate-inducible deoxyribose operon transcriptional repressor; repressor of nupG and tsx
cgMLST V1	b0847 (ybjL)	putative transporter
cgMLST V1	b0846 (rcdA)	transcriptional regulator of csgD and ybiJI; autoregulator
cgMLST V1	b0845 (ybjJ)	putative transporter
cgMLST V1	b0844 (ybjI)	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis
cgMLST V1	b0593 (entC)	isochorismate synthase 1
cgMLST V1	b0592 (fepB)	iron-enterobactin transporter subunit
cgMLST V1	b0594 (entE)	"2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex "
cgMLST V1	b0597 (entH)	enterobactin synthesis proofreading thioesterase
cgMLST V1	b0596 (entA)	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase "
cgMLST V1	b0599 (ybdH)	putative oxidoreductase
cgMLST V1	b3028 (mdaB)	NADPH quinone reductase
cgMLST V1	b3029 (ygiN)	quinol monooxygenase
cgMLST V1	b3023 (ygiV)	transcriptional repressor for mcbR biofilm gene
cgMLST V1	b3024 (ygiW)	hydrogen peroxide and cadmium resistance periplasmic protein; stress-induced OB-fold protein
cgMLST V1	b3025 (qseB)	quorum sensing DNA-binding response regulator in two-component regulatory system with QseC
cgMLST V1	b3026 (qseC)	quorum sensing sensory histidine kinase in two-component regulatory system with QseB
cgMLST V1	b3688 (yidQ)	DUF1375 family outer membrane protein
cgMLST V1	b3689 (yidR)	DUF3748 family protein
cgMLST V1	b3685 (yidE)	putative transporter
cgMLST V1	b3686 (ibpB)	heat shock chaperone
cgMLST V1	b3687 (ibpA)	heat shock chaperone
cgMLST V1	b2379 (alaC)	valine-pyruvate aminotransferase 3
cgMLST V1	b2378 (lpxP)	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase
cgMLST V1	b2377 (yfdY)	DUF2545 family putative inner membrane protein
cgMLST V1	b3972 (murB)	"UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding "
cgMLST V1	b3973 (birA)	"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/DNA-binding transcriptional repressor, bio-5'-AMP-binding "
cgMLST V1	b3974 (coaA)	pantothenate kinase
cgMLST V1	b2081 (yegQ)	putative peptidase
cgMLST V1	b2080 (yegP)	UPF0339 family protein
cgMLST V1	b2086 (yegS)	"phosphatidylglycerol kinase, metal-dependent"
cgMLST V1	b1853 (yebK)	putative DNA-binding transcriptional regulator
cgMLST V1	b1852 (zwf)	glucose-6-phosphate 1-dehydrogenase
cgMLST V1	b1851 (edd)	6-phosphogluconate dehydratase
cgMLST V1	b1850 (eda)	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase
cgMLST V1	b1857 (znuA)	zinc transporter subunit: periplasmic-binding component of ABC superfamily
cgMLST V1	b1856 (mepM)	"murein DD-endopeptidase, space-maker hydrolase, septation protein"
cgMLST V1	b1855 (lpxM)	myristoyl-acyl carrier protein (ACP)-dependent acyltransferase
cgMLST V1	b1854 (pykA)	pyruvate kinase II
cgMLST V1	b1859 (znuB)	zinc transporter subunit: membrane component of ABC superfamily
cgMLST V1	b1858 (znuC)	zinc transporter subunit: ATP-binding component of ABC superfamily
cgMLST V1	b4502 (yeiW)	UPF0153 cysteine cluster protein
cgMLST V1	b0686 (ybfF)	acyl-CoA esterase
cgMLST V1	b2128 (yehW)	inner membrane putative ABC superfamily transporter permease
cgMLST V1	b2129 (yehX)	putative ABC superfamily transporter ATP-binding subunit
cgMLST V1	b2126 (yehU)	inner membrane putative sensory kinase in two-component system with YehT
cgMLST V1	b2124 (yehS)	DUF1456 family protein
cgMLST V1	b2125 (yehT)	putative response regulator in two-component system withYehU
cgMLST V1	b0142 (folK)	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
cgMLST V1	b0143 (pcnB)	poly(A) polymerase
cgMLST V1	b0146 (sfsA)	sugar fermentation stimulation protein A
cgMLST V1	b0147 (ligT)	2'-5' RNA ligase
cgMLST V1	b0144 (gluQ)	glutamyl-Q tRNA(Asp) synthetase
cgMLST V1	b0145 (dksA)	"transcriptional regulator of rRNA transcription, DnaK suppressor protein"
cgMLST V1	b0148 (hrpB)	putative ATP-dependent helicase
cgMLST V1	b0149 (mrcB)	fused glycosyl transferase and transpeptidase
cgMLST V1	b3996 (nudC)	NADH pyrophosphatase
cgMLST V1	b1376 (uspF)	"stress-induced protein, ATP-binding protein"
cgMLST V1	b0425 (panE)	"2-dehydropantoate reductase, NADPH-specific "
cgMLST V1	b0424 (yajL)	oxidative-stress-resistance chaperone
cgMLST V1	b0426 (yajQ)	"phage Phi6 host factor, ATP/GTP binding protein"
cgMLST V1	b0421 (ispA)	geranyltranstransferase
cgMLST V1	b0420 (dxs)	"1-deoxyxylulose-5-phosphate synthase, thiamine triphosphate-binding, FAD-requiring "
cgMLST V1	b0422 (xseB)	exonuclease VII small subunit
