Scheme name	Locus tag	Description
Achtman 7 Gene MLST	aroC	
Achtman 7 Gene MLST	dnaN	
Achtman 7 Gene MLST	hemD	
Achtman 7 Gene MLST	hisD	
Achtman 7 Gene MLST	purE	
Achtman 7 Gene MLST	sucA	
Achtman 7 Gene MLST	thrA	
cgMLST V2	STMMW_23011 (nrdA)	Ribonucleotide reductase class 1a alpha subunit
cgMLST V2	STMMW_14251 (ssaS)	EscS/YscS/HrcS family type III secretion system export apparatus protein
cgMLST V2	STMMW_33821 (yhdG)	tRNA dihydrouridine synthase DusB
cgMLST V2	STMMW_04381 (prpB)	methylisocitrate lyase
cgMLST V2	STMMW_08801 (glnP)	polar amino acid ABC transporter inner membrane subunit
cgMLST V2	STMMW_34881 (hslO)	molecular chaperone Hsp33
cgMLST V2	STMMW_18671 (zwf)	glucose-6-phosphate dehydrogenase
cgMLST V2	STMMW_14121 (ssaH)	SsaI
cgMLST V2	STMMW_05161 (yajG)	putative lipoprotein YajG precursor
cgMLST V2	STMMW_15991 (ydcP)	collagenase
cgMLST V2	STMMW_02351 (lpxB)	lipid-A-disaccharide synthase
cgMLST V2	STMMW_24541 (pdxK)	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
cgMLST V2	STMMW_40641 (metJ)	met repressor
cgMLST V2	STMMW_34081 (pez)	DNA-directed RNA polymerase subunit alpha
cgMLST V2	STMMW_06841 (citG)	2-(5'-triphosphoribosyl)-3'-dephospho CoA synthase
cgMLST V2	STMMW_14021 (sseA)	type III secretion system chaperone SseA
cgMLST V2	STMMW_05381 (ylaB)	cyclic diguanylate phosphodiesterase
cgMLST V2	STMMW_42861 (sugE)	multidrug SMR transporter
cgMLST V2	STMMW_31101 (hypO)	hydrogenase 2 small subunit
cgMLST V2	STMMW_25141 (uraA)	uracil/xanthine transporter
cgMLST V2	STMMW_25411 (yfgA)	cytoskeleton protein RodZ
cgMLST V2	STMMW_17221 (trpA)	tryptophan synthase subunit alpha
cgMLST V2	STMMW_10921 (yccV)	heat-shock protein HspQ
cgMLST V2	STMMW_27811 (emrA)	multidrug transporter
cgMLST V2	STMMW_33081 (yrbB)	anti-sigma factor antagonist
cgMLST V2	STMMW_41771 (malF)	maltose ABC transporter permease
cgMLST V2	STMMW_12071 (pabC)	aminodeoxychorismate lyase
cgMLST V2	STMMW_36901 (grxC)	glutaredoxin 3
cgMLST V2	STMMW_39101 (cyaA)	"adenylate cyclase, class I"
cgMLST V2	STMMW_30761 (yqgA)	YqgA
cgMLST V2	STMMW_38501 (atpD)	ATP synthase subunit beta
cgMLST V2	STMMW_37231 (rph)	ribonuclease PH
cgMLST V2	STMMW_39191 (yigA)	DUF484 domain-containing protein
cgMLST V2	STMMW_16171 (ydcG)	glucan biosynthesis protein D
cgMLST V2	STMMW_19331 (fliY)	Cystine ABC transporter
cgMLST V2	STMMW_18311 (kdgR)	DNA-binding transcriptional regulator KdgR
cgMLST V2	STMMW_07401 (nagC)	DNA-binding transcriptional dual regulator NagC
cgMLST V2	STMMW_02431 (rof)	Rho-binding antiterminator
cgMLST V2	STMMW_28591 (invE)	type III secretion system regulator InvE
cgMLST V2	STMMW_11331 (putA)	trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
cgMLST V2	STMMW_34501 (yheR)	potassium transporter KefG
cgMLST V2	STMMW_22261 (yeiG)	S-formylglutathione hydrolase
cgMLST V2	STMMW_36011 (kdgK)	2-dehydro-3-deoxygluconate kinase
cgMLST V2	STMMW_45101 (deoA)	thymidine phosphorylase
cgMLST V2	STMMW_42101 (siiC)	putative ABC exporter outer membrane component
cgMLST V2	STMMW_42451 (adiC)	arginine:agmatine antiporter
cgMLST V2	STMMW_43851	transcriptional regulator
cgMLST V2	STMMW_08121 (aroG)	"3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase, phenylalanine repressible)"
cgMLST V2	STMMW_09521 (ybjD)	ATP-dependent endonuclease of the OLD family
cgMLST V2	STMMW_09291 (potG)	putrescine transporter ATP-binding subunit
cgMLST V2	STMMW_00441 (rpsT)	30S ribosomal protein S20
cgMLST V2	STMMW_35271 (glgB)	"1,4-alpha-glucan branching enzyme"
cgMLST V2	STMMW_24731 (eutR)	transcriptional regulator EutR
cgMLST V2	STMMW_04711 (malZ)	maltodextrin glucosidase
cgMLST V2	STMMW_24041 (yfcA)	membrane protein
cgMLST V2	STMMW_09741 (ycaJ)	recombinase RarA
cgMLST V2	STMMW_07021 (dacA)	D-alanyl-D-alanine carboxypeptidase DacA
cgMLST V2	STMMW_29511 (mltA)	murein transglycosylase A
cgMLST V2	STMMW_01381 (ftsA)	cell division protein FtsA
cgMLST V2	STMMW_20921 (dacD)	D-alanyl-D-alanine carboxypeptidase
cgMLST V2	STMMW_31371 (ygiX)	Two-component system response regulator QseB
cgMLST V2	STMMW_06431 (nfnB)	NAD(P)H nitroreductase
cgMLST V2	STMMW_00651 (dapB)	4-hydroxy-tetrahydrodipicolinate reductase
cgMLST V2	STMMW_00121 (dnaJ)	molecular chaperone DnaJ
cgMLST V2	STMMW_17471 (galU)	UTP--glucose-1-phosphate uridylyltransferase
cgMLST V2	STMMW_01521 (ampD)	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"
cgMLST V2	STMMW_26771 (yfiH)	hypothetical protein
cgMLST V2	STMMW_30971 (uxaC)	uronate isomerase
cgMLST V2	STMMW_24951 (ypfG)	putative exported protein
cgMLST V2	STMMW_28601 (invG)	type III secretion system outer membrane pore InvG
